author,title,subtitle preview,published date,min read time,collection,claps,responses
DLMade,Deploying a Django project on Heroku,,Apr 6,2 min read,Python In Plain English,2,
Prabod Dunuwila,Python Data Structure Basics - I,"In this article series,  I’m going to walk you through the following…",Apr 5,3 min read,Python In Plain English,1,
Josh Hodgkinson,6 Simple Steps for a Python Setup in Atom,,Apr 5,4 min read,Python In Plain English,23,
rebelCoder,"Bioinformatics in Python; DNA Toolkit. Part 4: Translation, Codon Usage",,Apr 5,4 min read,Python In Plain English,67,
Manthan B Y,"Zero to Hero in Python in 30 Days: Day 2: Values, Variables, Expressions",,Apr 4,5 min read,Python In Plain English,170,
Borna Ahmadzadeh,Blue Book for Bulldozers Competition Part 2— Finding the Right Validation Set,Finding a good…,Apr 5,8 min read,Python In Plain English,,
Ary Sharifian,Save Money and Resources with Cloud Python SDK and Tags,,Apr 4,3 min read,Python In Plain English,,
Manthan B Y,"Zero to Hero in Python in 30 days: Day 5: Print function, Comments",,Apr 7,8 min read,Python In Plain English,181,
Valentina Alto,Introduction to Network science with NetworkX,,Apr 12,4 min read,Python In Plain English,128,
Daniel Da Costa,Uploading a Python package to PyPi,How to quickly upload a Python package to PyPi,Apr 7,3 min read,Python In Plain English,3,
Usama Khan,Scrapping your Uber Eats data using Selenium and Beautiful Soup,,Apr 11,8 min read,Python In Plain English,4,
Manthan B Y,Zero to Hero in Python in 30 days: Day 9: Functions Part I,,Apr 11,5 min read,Python In Plain English,101,
Angad Singh,Fetch and Store data with Python from an API in a JSON file,,Apr 12,2 min read,Python In Plain English,50,
Bradley Reimers,Managing Kubernetes in Django FTW,,Apr 6,4 min read,Python In Plain English,2,
Manthan B Y,Zero to Hero in Python in 30 days: Day 4: Operators Part II,,Apr 6,5 min read,Python In Plain English,131,
Trung Anh Dang,Hello “Python in Plain English”,,Apr 6,3 min read,Python In Plain English,152,
Mathews Musukuma,Deploying a Django Application to Heroku,,Apr 7,3 min read,Python In Plain English,20,1 response
jhonatan costa,Implementing Flask login with hash password,,Apr 4,2 min read,Python In Plain English,35,
rebelCoder,Bioinformatics in Python; DNA Toolkit. Part 3: GC Content Calculation,,Apr 4,4 min read,Python In Plain English,17,
Manthan B Y,,,Apr 3,5 min read,Python In Plain English,96,
Divyanshi Bhamri,Performance Testing with Locust (Part 1),,Apr 4,3 min read,Python In Plain English,144,2 responses
Adrienne Domingus,"Exceptions in Python: catching, raising, customizing, and logging",,Apr 4,6 min read,Python In Plain English,,
Uzair Adamjee,Introduction to Web Scraping using Python and BeautifulSoup,,Apr 3,3 min read,Python In Plain English,3,
Keno Leon,Decorators in Python,,Apr 3,6 min read,Python In Plain English,96,
Manthan B Y,Zero to Hero in Python in 30 Days: Day 0: Getting Started with Python,,Apr 2,3 min read,Python In Plain English,104,2 responses
Peter Smiley,The Ultimate Python Guide: How to become a coding god,,Apr 3,8 min read,Python In Plain English,3,
rebelCoder,Let’s set up a code editor for Python and Bioinformatics,,Apr 3,4 min read,Python In Plain English,49,
Josh Hodgkinson,Simply Track Coronavirus In Your Country with Python and Scheduled Automatic Emails,,Apr 3,8 min read,Python In Plain English,130,
Kelvin Tan,Flanking vs Brute Force in Python,,Apr 3,3 min read,Python In Plain English,,
Trent Murray,Django — Start building an API in 8 minutes,Start building almost any idea in 8 minutes,Apr 2,9 min read,Python In Plain English,25,
Mike Wolfe,Testing APIs with Python,,Oct 17,4 min read,Python In Plain English,60,
Jenny Yang,Learning algorithms with Python: Heaps,,Oct 18,5 min read,Python In Plain English,12,
George Pipis,Caesar Cipher Algorithm in Python,,Oct 18,2 min read,Python In Plain English,,
George Pipis,Image Processing In OpenCV Python,,Oct 18,2 min read,Python In Plain English,,
Alberto Naranjo,Build a payment system with Django 3.1 and Stripe from scratch. Part 1,,Oct 16,8 min read,Python In Plain English,204,
Lucas Soares,Coding Faster with AutoHotkey,,Oct 16,5 min read,Python In Plain English,177,1 response
Sandro,How to make GIFS with Python and Seaborn From Google Trends Data,,Oct 15,6 min read,Python In Plain English,142,1 response
Lucas Soares,A Quick Pythonic Introduction to C++,A quick introduction to C++ basics using Python snippets as a…,Oct 14,4 min read,Python In Plain English,286,1 response
Ajay Kapoor,Why Do We Use Python for Machine Learning & AI?,,Oct 13,6 min read,Python In Plain English,36,1 response
George Pipis,Email Spam Detector in Python,,Oct 14,3 min read,Python In Plain English,38,1 response
Arman Berek,Classifying Disaster Messages,,Oct 14,5 min read,Python In Plain English,2,1 response
Drew Seewald,Adding a Typing Indicator to Your Discord.py Bot,,Oct 12,4 min read,Python In Plain English,4,1 response
Pasindu Ukwatta,Python 3.9 — The Latest Release Features You Should Try,,Oct 13,6 min read,Python In Plain English,103,2 responses
Aayush Acharya,How to Send Email with Python,,Oct 12,4 min read,Python In Plain English,1,
Pasindu Ukwatta,Is Julia The Next Big Competitor for Python?,,Oct 11,6 min read,Python In Plain English,37,
Abhay Parashar,Searching Algorithms in Python,,Oct 8,3 min read,Python In Plain English,51,
Curt Beck,Add Some Style to your Pandas DataFrame,,Oct 10,4 min read,Python In Plain English,25,
Mike Wolfe,Java + Python = Jython?,,Oct 10,5 min read,Python In Plain English,16,1 response
Sebastian Witowski,Python: For Loop vs. List Comprehension,Simple “for loops” can be replaced with a list comprehension…,Oct 15,5 min read,Python In Plain English,50,
Kevin C Lee,Better Text Preprocessing in Python with Regex,,Oct 15,6 min read,Python In Plain English,68,
Alberto Naranjo,From Zero To Hero in Django: How To Successfully Install Django 3.1,,Oct 14,5 min read,Python In Plain English,173,
Anuradha Wickramarachchi,How to discover your network-attached devices using Python SSDP,,Oct 6,4 min read,Python In Plain English,51,
Dinesh Kumar K B,Leveraging the power of tempfile library in Python,,Oct 6,3 min read,Python In Plain English,61,
Kelvin Tan,From Fibonacci to N-bonacci,,Oct 6,3 min read,Python In Plain English,50,
Kai,Django on GoDaddy VPS Part 4,,Oct 5,6 min read,Python In Plain English,1,
James Briggs,How to Use Selenium to Automate Everything in the Browser,,Oct 7,8 min read,Python In Plain English,314,1 response
Jenny Yang,Learning Algorithms — Merge Sort,"Previously, we had a look of Insertion Sort and implemented it in…",Oct 7,5 min read,Python In Plain English,17,
Pattidegner,Three Ways to Generate Images with Python,,Oct 7,4 min read,Python In Plain English,6,1 response
Kai,Django on GoDaddy VPS Part 5,,Oct 7,4 min read,Python In Plain English,,
Seann Branchfield,,,Oct 7,2 min read,Python In Plain English,52,
Dominic Holder,,,Oct 7,5 min read,Python In Plain English,52,
Lucas Soares,Desktop Productivity: Automate your Wallpaper Cycle with Python,,Oct 8,3 min read,Python In Plain English,151,
Sebastian Witowski,Should We Still Use OrderedDict in Python?,Dictionaries in the latest Python versions preserve the…,Oct 8,3 min read,Python In Plain English,10,
Abhay Parashar,Develop a Single Linked List Using Python,,Oct 8,5 min read,Python In Plain English,35,
Dev Dash MD MPH,Port Your PyTorch Code to GPU,,Oct 7,2 min read,Python In Plain English,,
SolClover,How to Create a 3D Model of the Solar System Using Plotly in Python,,Oct 5,6 min read,Python In Plain English,6,1 response
Nived,Create a Image-to-Document Scanner with Python,,Oct 4,4 min read,Python In Plain English,2,
Borna Ahmadzadeh,Tackling Kaggle’s Mercedes-Benz Greener Manufacturing Competition with Python,Part 3 (Continued) —…,Oct 5,10 min read,Python In Plain English,2,
Mike Wolfe,Better ways of Logging with Python,,Oct 3,4 min read,Python In Plain English,15,
Jenny Yang,Learning Algorithms with Python: Insertion Sort,,Oct 2,4 min read,Python In Plain English,5,
Angel Mariano,Data Exploration with Pandas and Matplolib,,Oct 2,4 min read,Python In Plain English,5,
Kai,Django on GoDaddy VPS Part 3,,Oct 1,3 min read,Python In Plain English,,
George Pipis,How to deal with Dates in Texts using Python,,Oct 2,4 min read,Python In Plain English,52,
Pratik Dani,Bypassing CAPTCHAs Using Python,,May 29,4 min read,Python In Plain English,62,3 responses
Jonathan Duran,How to create an ETL pipeline in Python with Airflow,Simple ETL with Airflow,May 28,6 min read,Python In Plain English,16,
Ashish Ansurkar,4 Cool Things You Can Do Using Python Dictionary With Minimal Code,,May 28,3 min read,Python In Plain English,17,
